Random_Number_1	Random_Number_2
0.18329	0.973162
0.0803566	0.282057
0.318096	0.846939
0.600636	0.802398
0.526849	0.126208
0.610071	0.0701862
0.37896	0.71074
0.544179	0.188398
0.135615	0.240929
0.28093	0.396771
0.982955	0.554084
0.560821	0.655837
0.207155	0.190333
0.174224	0.496607
0.734137	0.399874
0.861907	0.384354
0.963061	0.732684
0.502501	0.363632
0.979466	0.655041
0.885363	0.296987
0.565696	0.566571
0.236087	0.65262
0.20168	0.232374
0.0298504	0.0568515
0.400633	0.121947
0.751203	0.0258008
0.299445	0.701915
0.321208	0.653042
0.0482316	0.436958
0.474177	0.11851
0.759346	0.422384
0.287639	0.255033
0.269718	0.0901525
0.264391	0.023882
0.78761	0.895866
0.0461228	0.545395
0.927476	0.706217
0.932423	0.803603
0.481757	0.344163
0.127592	0.426771
0.641678	0.228122
0.198081	0.977375
0.141348	0.188673
0.131938	0.122489
0.521235	0.517853
0.584646	0.0205753
0.309571	0.11003
0.0988109	0.306815
0.229998	0.0477377
0.825062	0.0980695
0.182767	0.149251
0.8278	0.631141
0.555663	0.403268
0.68463	0.459417
0.187573	0.161438
0.620298	0.0959272
0.750535	0.608224
0.400724	0.725229
0.560803	0.0832237
0.0239515	0.103855
0.0651373	0.365787
0.00831191	0.421007
0.885735	0.920113
0.43232	0.710664
0.320341	0.801337
0.688157	0.748019
0.249938	0.0584614
0.246547	0.465108
0.00364794	0.426138
0.633773	0.266618
0.275827	0.594267
0.0985771	0.642303
0.0787027	0.110532
0.654995	0.869791
0.832642	0.215785
0.398385	0.500399
0.974967	0.347042
0.0973598	0.756666
0.453977	0.386826
0.591041	0.451495
0.983298	0.759903
0.0450685	0.157314
0.870875	0.298903
0.648651	0.831775
0.917786	0.852536
0.0776267	0.379518
0.949336	0.558232
0.877396	0.572111
0.0622389	0.0123656
0.0311605	0.841865
0.923972	0.0491783
0.327259	0.0125026
0.26207	0.395357
0.724732	0.736287
0.458012	0.569275
0.561062	0.267089
0.00191028	0.755211
0.657986	0.270968
0.783849	0.808423
0.434698	0.19199
0.765867	0.922541
0.703395	0.951219
0.288954	0.160045
0.437757	0.539899
0.232576	0.319702
0.756385	0.397687
0.809513	0.380305
0.737073	0.916678
0.196764	0.522019
0.126333	0.322412
0.80129	0.19114
0.074754	0.69898
0.236262	0.839798
0.585632	0.886455
0.629104	0.796397
0.314171	0.256017
0.086148	0.26007
0.777709	0.586001
0.215939	0.863305
0.75516	0.366571
0.805612	0.157027
0.633153	0.719705
0.644357	0.0692803
0.995517	0.298641
0.0854944	0.000278976
0.199025	0.393203
0.854043	0.24553
0.819874	0.92884
0.526437	0.604145
0.956552	0.249045
0.252322	0.108639
0.890234	0.86554
0.323249	0.55936
0.089032	0.727863
0.735295	0.622195
0.164109	0.586978
0.85521	0.509248
0.213452	0.657528
0.864577	0.171884
0.0127614	0.0148504
0.824669	0.236969
0.838947	0.672475
0.573908	0.56792
0.290599	0.664975
0.562916	0.195643
0.0735935	0.515451
0.999844	0.659906
0.0186204	0.281176
0.262487	0.357867
0.513587	0.19001
0.331068	0.225243
0.885191	0.238846
0.679843	0.74215
0.929353	0.437634
0.903537	0.433916
0.89944	0.592038
0.0983215	0.22592
0.123524	0.548196
0.307502	0.411323
0.046814	0.462768
0.253322	0.292529
0.275121	0.890827
0.114265	0.33298
0.366193	0.255828
0.570657	0.0868197
0.111539	0.0415547
0.139725	0.18084
0.528524	0.700558
0.333483	0.150729
0.229212	0.407855
0.0178819	0.467767
0.846012	0.404906
0.650986	0.122975
0.400585	0.0721335
0.77437	0.0975555
0.35904	0.0922924
0.0102702	0.836544
0.854169	0.440859
0.70583	0.0139603
0.789622	0.537882
0.617784	0.219333
0.0659831	0.745629
0.132328	0.43815
0.931261	0.499659
0.98756	0.582956
0.00443751	0.295776
0.2596	0.850435
0.232751	0.823859
0.752625	0.250075
0.711449	0.121883
0.38867	0.883279
0.721797	0.258629
0.548826	0.931488
0.681493	0.685985
0.243915	0.654067
0.245814	0.575658
0.401538	0.499605
0.366057	0.964888
0.0682193	0.733976
0.625642	0.0666129
0.673452	0.847768
0.873714	0.328521
0.295872	0.274348
0.555952	0.743113
0.992616	0.306526
0.134871	0.746736
0.111141	0.478678
0.608219	0.62462
0.462129	0.223439
0.101493	0.578396
0.514212	0.0342824
0.922098	0.262359
0.244996	0.0457838
0.781073	0.626917
0.0791356	0.91371
0.613904	0.55616
0.41352	0.416232
0.737011	0.158072
0.99105	0.919533
0.0876563	0.787183
0.14789	0.407478
0.260845	0.816458
0.241543	0.119373
0.532651	0.0200205
0.914714	0.126586
0.596617	0.0913514
0.521903	0.443157
0.0263252	0.0021382
0.0971307	0.564036
0.134028	0.222618
0.225304	0.746336
0.786427	0.183945
0.129643	0.344209
0.0372939	0.208595
0.531149	0.38389
0.716957	0.11923
0.843526	0.326378
0.863779	0.271014
0.48181	0.225206
0.403288	0.322919
0.851118	0.9928
0.100653	0.0943025
0.938109	0.399871
0.291867	0.600147
0.0890877	0.141728
0.301942	0.732304
0.487251	0.178434
0.362746	0.396465
0.312376	0.626805
0.0316755	0.610328
0.407475	0.883235
0.446546	0.598964
0.886051	0.727656
0.409553	0.553144
0.454722	0.0967549
0.528395	0.323134
0.383773	0.798211
0.580655	0.280435
0.590131	0.273656
0.779107	0.225355
0.503879	0.91248
0.354992	0.292624
0.367421	0.101315
0.379265	0.549287
0.573034	0.922867
0.186786	0.141986
0.884195	0.692353
0.771286	0.734411
0.192585	0.721165
0.122042	0.449111
0.656722	0.964432
0.955994	0.27861
0.136217	0.627914
0.837755	0.173792
0.310497	0.879055
0.090582	0.372208
0.0276236	0.0971453
0.81816	0.385606
0.329722	0.389273
0.456879	0.269075
0.456621	0.211933
0.057862	0.782396
0.389795	0.239962
0.612336	0.182832
0.0575005	0.979501
0.409625	0.625936
0.487556	0.649257
0.132554	0.102725
0.335749	0.0185183
0.363076	0.190495
0.167416	0.489023
0.895304	0.419228
0.451002	0.154756
0.105571	0.266899
0.0108971	0.707978
0.6633	0.879857
0.346636	0.803865
0.335749	0.991604
0.593765	0.203651
0.0597	0.627492
0.216856	0.474235
0.724913	0.651384
0.825994	0.753696
0.957955	0.228126
0.35505	0.66654
0.908835	0.884772
0.693401	0.388552
0.427577	0.952055
0.0959797	0.309972
0.433834	0.882886
0.896511	0.999826
0.013103	0.297696
0.289712	0.372177
0.600923	0.501483
0.391254	0.106117
0.236796	0.571518
0.878171	0.789377
0.99209	0.209333
0.248991	0.841789
0.882646	0.33895
0.205999	0.0689782
0.641361	0.832878
0.342924	0.705434
0.779245	0.478413
0.451192	0.131471
0.0263364	0.555751
0.031569	0.957722
0.954644	0.816072
0.479695	0.43467
0.879118	0.0311757
0.730579	0.835402
0.735912	0.831169
0.375513	0.0901711
0.957944	0.98904
0.57631	0.51039
0.63516	0.726006
0.223314	0.150496
0.71294	0.794308
0.537715	0.472143
0.464451	0.2909
0.980371	0.58949
0.206308	0.646026
0.453576	0.476725
0.337281	0.151298
0.842902	0.0820371
0.807034	0.176394
0.525713	0.980203
0.00491245	0.635426
0.0194271	0.584334
0.298265	0.940374
0.0908246	0.635047
0.51408	0.3233
0.941328	0.688685
0.158304	0.256682
0.191158	0.562104
0.647552	0.208639
0.675543	0.524139
0.772314	0.0093752
0.671967	0.759403
0.559958	0.613599
0.738605	0.819038
0.796075	0.986208
0.808483	0.186502
0.178703	0.897769
0.246009	0.158721
0.0891055	0.433563
0.944356	0.3295
0.475045	0.505629
0.404656	0.638989
0.769326	0.114737
0.677674	0.576895
0.264206	0.53566
0.743557	0.693685
0.567957	0.168051
0.119918	0.295573
0.591089	0.732638
0.351305	0.00438161
0.453525	0.0496875
0.977019	0.348447
0.230465	0.194388
0.988514	0.999215
0.361521	0.601059
0.0886567	0.520399
0.957997	0.898294
0.118459	0.0502339
0.0241896	0.338653
0.44943	0.592006
0.94262	0.97128
0.633637	0.969755
0.438451	0.368893
0.805331	0.357299
0.7327	0.387219
0.872538	0.633534
0.15805	0.573155
0.759788	0.74248
0.211907	0.795981
0.143252	0.442775
0.270369	0.0257778
0.0253015	0.779815
0.570325	0.904738
0.62495	0.510655
0.285231	0.649162
0.190176	0.91361
0.952613	0.609817
0.51636	0.507557
0.194615	0.738352
0.638334	0.994481
0.249916	0.888507
0.523343	0.74984
0.6346	0.706261
0.495286	0.849656
0.395224	0.98722
0.97269	0.665468
0.936157	0.437398
0.101613	0.992992
0.299273	0.566361
0.468077	0.426916
0.0819521	0.974565
0.730228	0.116135
0.164653	0.386871
0.470744	0.572144
0.74214	0.317638
0.486665	0.797632
0.620959	0.0966405
0.942576	0.380346
0.858825	0.765525
0.00380941	0.0813587
0.579528	0.115164
0.69213	0.629862
0.332202	0.397531
0.824387	0.477436
0.412517	0.0816816
0.98438	0.00580089
0.872574	0.42148
0.527048	0.744005
0.707707	0.412557
0.0760463	0.192159
0.117187	0.169833
0.173894	0.545961
0.54982	0.247315
0.260745	0.85133
0.84993	0.425819
0.00786374	0.0821557
0.161492	0.101412
0.443601	0.942112
0.609377	0.13287
0.667093	0.25193
0.799703	0.414708
0.583037	0.452988
0.050608	0.386095
0.0640244	0.208766
0.395456	0.44721
0.591024	0.211176
0.960607	0.528553
0.904968	0.391369
0.568544	0.941038
0.433472	0.649677
0.34066	0.782627
0.520714	0.127341
0.799634	0.116618
0.405064	0.518889
0.571026	0.349718
0.626583	0.392689
0.851413	0.927779
0.940838	0.0244699
0.562911	0.128318
0.00806625	0.662704
0.139277	0.492943
0.0607087	0.36012
0.249595	0.26249
0.427784	0.573399
0.356464	0.335382
0.365083	0.133295
0.91908	0.106396
0.762331	0.327989
0.0677459	0.58455
0.272308	0.0183759
0.383115	0.680907
0.36907	0.315904
0.586059	0.287699
0.443074	0.16705
0.697759	0.762816
0.426051	0.370358
0.809499	0.0800635
0.676534	0.195351
0.043155	0.627788
0.344512	0.177504
0.301515	0.807106
0.0714392	0.257204
0.775118	0.183166
0.733891	0.766644
0.83762	0.0450045
0.485793	0.921111
0.588277	0.904484
0.407799	0.188772
0.424873	0.374512
0.207173	0.664156
0.969294	0.299095
0.322022	0.20485
0.240324	0.603666
0.174773	0.870256
0.461015	0.663543
0.206443	0.109175
0.908902	0.482598
0.00302506	0.0242719
0.73709	0.992777
0.0716126	0.16567
0.0883876	0.540764
0.406304	0.742942
0.91811	0.824097
0.411815	0.87511
0.668309	0.616452
0.265661	0.316582
0.759981	0.259097
0.71801	0.475244
0.768843	0.410264
0.355066	0.125186
0.693375	0.383373
0.00298714	0.236218
0.456995	0.75982
0.338413	0.77969
0.794237	0.897551
0.933887	0.122961
0.422088	0.999373
0.819963	0.370109
0.195997	0.619602
0.0854707	0.5493
0.486241	0.773612
0.190417	0.600594
0.231021	0.151573
0.0265037	0.0159187
0.942149	0.97034
0.266842	0.793596
0.495842	0.170184
0.303254	0.231495
0.018925	0.341906
0.918021	0.0393201
0.347139	0.442474
0.690282	0.979603
0.718122	0.874973
0.245355	0.635149
0.00147995	0.833129
0.760634	0.784351
0.289261	0.500504
0.585728	0.468821
0.288832	0.510788
0.920867	0.132762
0.554944	0.535209
0.534684	0.604795
0.758621	0.585158
0.0250257	0.64864
0.766826	0.024349
0.189281	0.790246
0.753626	0.421594
0.902283	0.281201
0.615694	0.104273
0.800174	0.628298
0.825533	0.438907
0.528639	0.477897
0.179907	0.0181922
0.108947	0.920794
0.695609	0.230314
0.80415	0.169054
0.342676	0.0307442
0.410388	0.031346
0.322483	0.149462
0.954002	0.364913
0.566377	0.441916
0.0352838	0.529854
0.363812	0.880018
0.447765	0.94891
0.150155	0.217829
0.440048	0.360719
0.736034	0.269318
0.962634	0.759441
0.345313	0.988313
0.59575	0.623211
0.493275	0.560155
0.445482	0.746777
0.980957	0.488462
0.752692	0.97683
0.608074	0.525154
0.205422	0.732658
0.882814	0.202903
0.909432	0.465899
0.774742	0.112621
0.34864	0.875625
0.30101	0.667355
0.570755	0.610698
0.768254	0.275753
0.19279	0.32127
0.499364	0.945168
0.114319	0.541937
0.413396	0.206467
0.186893	0.0141839
0.969421	0.392794
0.376771	0.277234
0.665275	0.117245
0.431956	0.697849
0.996447	0.0441891
0.559706	0.699761
0.337816	0.634167
0.188242	0.466173
0.453207	0.497828
0.792584	0.786165
0.130829	0.760004
0.238163	0.972852
0.0310106	0.0254157
0.842452	0.884238
0.415054	0.576173
0.434938	0.451497
0.911668	0.58987
0.162962	0.917113
0.527998	0.39639
0.458051	0.893513
0.0993587	0.563659
0.115138	0.994784
0.0530655	0.445424
0.375559	0.344923
0.0808169	0.367582
0.826345	0.473734
0.50218	0.208371
0.382399	0.238504
0.330412	0.55795
0.186516	0.334946
0.271873	0.958003
0.312073	0.933274
0.111012	0.836178
0.652426	0.207613
0.919873	0.182206
0.778148	0.437301
0.200725	0.775042
0.314681	0.411824
0.481426	0.808516
0.970731	0.220564
0.741821	0.969037
0.964645	0.260821
0.197789	0.502571
0.000325483	0.639374
0.0847724	0.702569
0.535267	0.409248
0.394781	0.370504
0.435231	0.85751
0.325732	0.985808
0.286958	0.088468
0.668094	0.697534
0.223423	0.654831
0.00142606	0.113607
0.727398	0.100089
0.328839	0.594639
0.660269	0.151742
0.951752	0.538844
0.257181	0.37166
0.687583	0.447483
0.949812	0.0787132
0.830431	0.207383
0.043975	0.0257557
0.397208	0.200961
0.376161	0.549781
0.947292	0.586378
0.165791	0.915391
0.358997	0.571028
0.846479	0.383728
0.250556	0.171729
0.961682	0.828097
0.0754972	0.795835
0.472312	0.367026
0.895828	0.756264
0.0572796	0.562173
0.753213	0.972318
0.378246	0.646086
0.413127	0.425956
0.3574	0.498704
0.0566337	0.92622
0.87076	0.336352
0.220014	0.262301
0.559638	0.240535
0.903865	0.256156
0.0209321	0.097952
0.141539	0.882789
0.490595	0.144298
0.399447	0.0450322
0.107654	0.463044
0.913217	0.0733588
0.274699	0.654017
0.27033	0.674239
0.731211	0.728429
0.788093	0.276666
0.448536	0.390318
0.265696	0.492473
0.849432	0.0365225
0.871515	0.152196
0.497793	0.0748331
0.552364	0.832299
0.592408	0.518992
0.0296915	0.0689191
0.681286	0.359471
0.201899	0.408734
0.633012	0.194906
0.00965203	0.668151
0.10327	0.44733
0.346676	0.934763
0.949092	0.167899
0.838774	0.588191
0.89171	0.292602
0.998728	0.642396
0.792097	0.453966
0.620563	0.780903
0.248049	0.62726
0.273355	0.176871
0.785358	0.778468
0.0234015	0.897648
0.915658	0.186536
0.720142	0.865062
0.796738	0.36029
0.519123	0.153498
0.69594	0.946406
0.167736	0.508661
0.597465	0.659735
0.568787	0.721136
0.213865	0.0179318
0.737942	0.428206
0.502376	0.352605
0.165064	0.383052
0.590006	0.00284226
0.858288	0.578396
0.387597	0.366179
0.762385	0.122857
0.598151	0.477717
0.697823	0.131272
0.903511	0.820537
0.0601329	0.162508
0.277818	0.95233
0.921775	0.722269
0.445937	0.457284
0.113578	0.786384
0.564661	0.550685
0.143349	0.0350588
0.667559	0.645364
0.440246	0.641841
0.284151	0.955921
0.128545	0.673798
0.0266404	0.962055
0.552328	0.249153
0.831757	0.445505
0.00339808	0.347031
0.0367912	0.252236
0.591361	0.661635
0.167338	0.391939
0.714039	0.484415
0.485598	0.176142
0.671766	0.990667
0.0191924	0.438378
0.938048	0.802122
0.266744	0.735707
0.962131	0.127278
0.849894	0.993751
0.228035	0.194452
0.626673	0.320554
0.0918656	0.480868
0.408539	0.251911
0.672612	0.444312
0.694446	0.592533
0.203508	0.480825
0.00537632	0.427001
0.193271	0.0291055
0.789222	0.24653
0.951476	0.721038
0.649931	0.424887
0.114985	0.580855
0.893852	0.298761
0.815388	0.914004
0.504585	0.608701
0.507224	0.0725631
0.200709	0.659519
0.938776	0.562428
0.45966	0.770475
0.152048	0.188546
0.0120954	0.271395
0.997954	0.107765
0.263474	0.290717
0.53876	0.251979
0.44843	0.504069
0.502792	0.501237
0.0467922	0.427666
0.452058	0.217343
0.22066	0.289669
0.0408908	0.394835
0.319289	0.389534
0.665206	0.559753
0.134048	0.156755
0.257229	0.282626
0.339953	0.70298
0.574728	0.894398
0.710956	0.15926
0.785365	0.000973449
0.383372	0.0309511
0.053881	0.685652
0.766125	0.0649467
0.336785	0.494858
0.230362	0.894791
0.0551823	0.195626
0.888014	0.542042
0.631061	0.245821
0.435206	0.877951
0.173311	0.599962
0.683816	0.413408
0.606024	0.159742
0.140407	0.593525
0.545371	0.945325
0.559512	0.232871
0.056714	0.833819
0.991901	0.830622
0.930095	0.655568
0.459235	0.0162983
0.103079	0.325599
0.31772	0.685593
0.632298	0.69272
0.470838	0.773153
0.0782232	0.771824
0.0324228	0.315598
0.880436	0.248369
0.508822	0.624019
0.280577	0.710234
0.604848	0.907054
0.785835	0.593501
0.119518	0.60713
0.439832	0.258518
0.0439975	0.745421
0.532115	0.149731
0.373097	0.256782
0.694152	0.695543
0.829545	0.746617
0.980407	0.126272
0.709208	0.69025
0.316946	0.893489
0.916156	0.76234
0.935847	0.153885
0.0107228	0.472369
0.551489	0.00371526
0.390006	0.718819
0.505721	0.979974
0.630926	0.598093
0.83294	0.35308
0.763729	0.276331
0.162929	0.766703
0.173022	0.596021
0.952384	0.68612
0.0673233	0.0875684
0.335472	0.216692
0.365918	0.374383
0.598421	0.323271
0.300542	0.182487
0.911852	0.981893
0.813165	0.14901
0.628708	0.420768
0.208391	0.30378
0.0898936	0.23276
0.986195	0.625957
0.478361	0.662878
0.371277	0.188714
0.672159	0.87714
0.186391	0.830104
0.0544977	0.618999
0.798712	0.415443
0.00299605	0.427151
0.583262	0.399775
0.0307209	0.404021
0.0207108	0.0119003
0.223884	0.133314
0.0544071	0.330628
0.131293	0.363529
0.386719	0.986867
0.726524	0.138196
0.150429	0.226275
0.0668703	0.0519536
0.247823	0.302198
0.861461	0.0425254
0.258051	0.832304
0.808744	0.0952341
0.875424	0.226508
0.748904	0.759274
0.387581	0.721026
0.89849	0.265392
0.73828	0.54455
0.527275	0.583102
0.983981	0.192284
0.999146	0.85954
0.325398	0.946075
0.629775	0.432902
0.783418	0.392141
0.14789	0.870383
0.491985	0.863965
0.350931	0.806311
0.889512	0.110076
0.790325	0.864483
0.205151	0.422024
0.66775	0.849275
0.81197	0.861327
0.383969	0.407664
0.513358	0.08033
0.326851	0.567297
0.425057	0.564187
0.705621	0.759461
0.904121	0.942629
0.806473	0.708428
0.679496	0.105663
0.509538	0.855838
0.913642	0.851227
0.663421	0.00708902
0.194099	0.50029
0.615788	0.70444
0.0913135	0.251109
0.456999	0.935469
0.543052	0.0536506
0.422965	0.84867
0.381351	0.578729
0.244325	0.44895
0.261673	0.111578
0.250391	0.244522
0.879746	0.382373
0.265006	0.0506217
0.397568	0.778727
0.375481	0.425971
0.187379	0.95833
0.848136	0.703214
0.37602	0.900048
0.12811	0.450362
0.767205	0.930643
0.800094	0.802739
0.509466	0.56202
0.213578	0.655661
0.960749	0.456998
0.794833	0.823867
0.89397	0.689034
0.825423	0.772945
0.0865955	0.884605
0.955925	0.815529
0.837436	0.57017
0.0575486	0.535885
0.969967	0.255139
0.771246	0.562161
0.145771	0.499258
0.0108734	0.610039
0.0966118	0.814669
0.779079	0.953834
0.20266	0.766129
0.353159	0.531849
0.637736	0.801438
0.426722	0.123947
0.19587	0.238677
0.630817	0.994196
0.183354	0.213845
0.930264	0.268603
0.74536	0.701633
0.325195	0.473464
0.80462	0.69461
0.373182	0.231321
0.894338	0.274588
0.838904	0.779878
0.73503	0.822203
0.219578	0.738252
0.28449	0.909449
0.413841	0.0355555
0.524666	0.926035
0.339258	0.926413
0.132356	0.111528
0.0929182	0.190446
0.00412809	0.0111058
0.209261	0.0258924
0.801098	0.680307
0.365896	0.539315
0.0300143	0.776838
0.044227	0.800362
0.487051	0.945111
0.107216	0.74891
0.769268	0.409544
0.397502	0.889295
0.276947	0.506894
0.43774	0.669232
0.401348	0.956428
0.45053	0.775928
0.293478	0.742295
0.0589565	0.893209
0.87788	0.638631
0.757744	0.034793
0.995725	0.314869
0.823126	0.455781
0.439072	0.135922
0.593372	0.636471
0.423689	0.0419132
0.770827	0.821202
0.548321	0.809505
0.185625	0.657073
0.659097	0.676841
0.343904	0.301008
0.446221	0.992428
0.905528	0.884461
0.78935	0.315489
0.618119	0.0614851
0.946899	0.833215
0.9746	0.0918548
0.311976	0.764996
0.968081	0.179259
0.236452	0.145337
0.788563	0.118676
0.567156	0.668297
0.103034	0.805245
0.664588	0.121656
0.53927	0.88306
0.2689	0.965991
0.369194	0.375362
0.12832	0.78175
0.095808	0.806694
0.321656	0.62855
0.902435	0.0280885
0.997289	0.579906
0.66663	0.762126
0.601021	0.573531
0.51374	0.501925
0.67259	0.591198
0.0458385	0.722639
0.749138	0.357448
0.26851	0.465643
0.90113	0.812451
0.196288	0.0528079
0.344231	0.637948
0.493962	0.617563
0.681836	0.600582
0.925735	0.640159
0.0306983	0.962821
0.507696	0.944573
0.980503	0.0681259
0.374147	0.95248
0.776353	0.807703
0.159769	0.357327
0.383157	0.182089
0.609147	0.543287
0.399888	0.46483
0.930714	0.176862
0.818537	0.211295
0.170296	0.79417
0.277577	0.230442
0.0690095	0.128339
0.826276	0.736954
0.956997	0.837796
0.972118	0.687941
0.494354	0.590596
0.580809	0.763263
0.3874	0.635787
0.0477279	0.620741
0.355993	0.725857
0.597088	0.475469
0.233662	0.65728
0.0510399	0.478565
0.892946	0.570654
0.0487228	0.734221
0.783489	0.754611
0.0372193	0.866377
0.729822	0.257088
0.259632	0.913268
0.434196	0.902287
0.617213	0.103344
0.286201	0.994051
0.857325	0.941452
0.691861	0.705352
0.816273	0.872718
0.911343	0.960799
0.802134	0.887713
0.362269	0.499392
0.411186	0.29994
0.112481	0.967316
0.40318	0.788307
0.826071	0.837006
0.536928	0.578011
0.899309	0.390186
0.0687496	0.376083
0.92114	0.345623
0.803631	0.555834
0.406808	0.0588962
0.774205	0.156297
0.599426	0.355773
0.00262436	0.0252974
0.832659	0.313787
0.218265	0.147242
0.747973	0.576332
0.0433016	0.241921
0.900872	0.496679
0.65056	0.552221
0.539108	0.424264
0.139963	0.381505
0.311425	0.410549
0.280854	0.54297
0.773839	0.742674
0.463446	0.296002
0.758027	0.174666
0.324045	0.214881
0.177727	0.201306
0.0941947	0.87709
0.316391	0.624723
0.0766386	0.298952
0.910591	0.160132
0.534885	0.379069
0.647842	0.864937
0.0716414	0.44865
0.0730004	0.664203
0.461545	0.596871
0.304369	0.90357
0.917916	0.912071
0.904389	0.644848
0.784626	0.22415
0.0248786	0.55499
0.93396	0.343992
0.99267	0.00891296
0.598565	0.996417
0.384092	0.102761
0.763822	0.395823
0.218114	0.724413
0.273054	0.475459
0.970746	0.00109344
0.051832	0.587491
0.0883979	0.245208
0.872775	0.907371
0.0569157	0.237146
0.192519	0.585473
0.0705921	0.324952
0.334018	0.55671
0.131449	0.511193
0.953805	0.474296
0.106402	0.384766
0.615981	0.90562
0.93106	0.803956
0.0250661	0.00880093
0.301236	0.324079
0.707889	0.41716
0.529973	0.938386
0.961607	0.119837
0.498748	0.0656508
0.620353	0.165127
0.962616	0.997235
0.190889	0.399185
0.446061	0.191142
0.80323	0.833783
0.178336	0.189455
0.429254	0.671807
0.914066	0.118807
